index,image_link,group_id,entity_name,text_img
0,https://m.media-amazon.com/images/I/110EibNyclL.jpg,156839,height,3rcn 51 44mui eetcm
1,https://m.media-amazon.com/images/I/11TU2clswzL.jpg,792578,width,"Size Width Length One Size 42cm/16.54"" 200cm/78.74"""
2,https://m.media-amazon.com/images/I/11TU2clswzL.jpg,792578,height,"Size Width Length One Size 42cm/16.54"" 200cm/78.74"""
3,https://m.media-amazon.com/images/I/11TU2clswzL.jpg,792578,depth,"Size Width Length One Size 42cm/16.54"" 200cm/78.74"""
4,https://m.media-amazon.com/images/I/11gHj8dhhrL.jpg,792578,depth,"Size Width Length One Size 10.50cm/4.13"" 90cm/35.43"""
5,https://m.media-amazon.com/images/I/11gHj8dhhrL.jpg,792578,height,"Size Width Length One Size 10.50cm/4.13"" 90cm/35.43"""
6,https://m.media-amazon.com/images/I/11gHj8dhhrL.jpg,792578,width,"Size Width Length One Size 10.50cm/4.13"" 90cm/35.43"""
7,https://m.media-amazon.com/images/I/11lshEUmCrL.jpg,156839,height,Ustabcm
8,https://m.media-amazon.com/images/I/21+i52HRW4L.jpg,478357,width,40 cm 30 cm 15 cm
9,https://m.media-amazon.com/images/I/21-LmSmehZL.jpg,478357,height,40 cm 30 cm 15 cm
10,https://m.media-amazon.com/images/I/213oP6n7jtL.jpg,953313,item_weight,1TB=
11,https://m.media-amazon.com/images/I/213wY3gUsmL.jpg,276611,width,"J0,6cm 41.6cm 139,Scm"
12,https://m.media-amazon.com/images/I/214CLs1oznL.jpg,648011,depth,4.3in 10 cm
13,https://m.media-amazon.com/images/I/214CLs1oznL.jpg,648011,height,4.3in 10 cm
14,https://m.media-amazon.com/images/I/214CLs1oznL.jpg,648011,width,4.3in 10 cm
15,https://m.media-amazon.com/images/I/216rjgJHAeL.jpg,279307,item_weight,
16,https://m.media-amazon.com/images/I/2174yonQBtL.jpg,569206,maximum_weight_recommendation,Im1O;
17,https://m.media-amazon.com/images/I/218BCzgKxuL.jpg,348551,item_weight,Black Red Green 208-240V 16A 6OHz L2 White GND Green Black
18,https://m.media-amazon.com/images/I/218BCzgKxuL.jpg,348551,wattage,Black Red Green 208-240V 16A 6OHz L2 White GND Green Black
19,https://m.media-amazon.com/images/I/218BCzgKxuL.jpg,348551,voltage,Black Red Green 208-240V 16A 6OHz L2 White GND Green Black
20,https://m.media-amazon.com/images/I/21BMc5GC4iL.jpg,442321,width,aumn Escm
21,https://m.media-amazon.com/images/I/21CxlWbim3L.jpg,751532,width,
22,https://m.media-amazon.com/images/I/21DZ7BAZ6-L.jpg,498074,item_volume,nailtiques FORMULA 2 Do Uiliaue KOTEI € DCNCIE foeo 6c7 7na o
23,https://m.media-amazon.com/images/I/21GLFXwC1mS.jpg,178958,width,032 cm
24,https://m.media-amazon.com/images/I/21GLFXwC1mS.jpg,178958,depth,032 cm
25,https://m.media-amazon.com/images/I/21H+7R85YZL.jpg,752266,width,3.8 In
26,https://m.media-amazon.com/images/I/21H+7R85YZL.jpg,752266,depth,3.8 In
27,https://m.media-amazon.com/images/I/21IGmiJi-PL.jpg,953313,item_weight,
28,https://m.media-amazon.com/images/I/21Is45vdL0L.jpg,965518,item_weight,Ucmn 63MPa
29,https://m.media-amazon.com/images/I/21Raw7jSIML.jpg,957050,item_weight,"2.62 Ibs Uln Lkhtuckcht Pody 16"" Liqu sarn"
30,https://m.media-amazon.com/images/I/21Vc5ixqKpS.jpg,486636,item_weight,"5 76 Cm {3 ' 19cm / 'z"""""
31,https://m.media-amazon.com/images/I/21W7FvftSCL.jpg,329793,item_weight,"RCd"" 90 mm 200 mm / 8'"
32,https://m.media-amazon.com/images/I/21aD6ktvwxS.jpg,113134,width,5.8 in 14cm
33,https://m.media-amazon.com/images/I/21aD6ktvwxS.jpg,113134,depth,5.8 in 14cm
34,https://m.media-amazon.com/images/I/21aD6ktvwxS.jpg,113134,height,5.8 in 14cm
35,https://m.media-amazon.com/images/I/21bfrFeArAL.jpg,601746,item_weight,91 Iatnt atcrlcdun
36,https://m.media-amazon.com/images/I/21bwWoCpGJL.jpg,156839,height,1942 cma 71*(9124
37,https://m.media-amazon.com/images/I/21cLufe8Y5L.jpg,648011,voltage,LAES
38,https://m.media-amazon.com/images/I/21cLufe8Y5L.jpg,648011,wattage,LAES
39,https://m.media-amazon.com/images/I/21d6Dtc94mL.jpg,244283,depth,5.4in GGn Laln 120 cM
40,https://m.media-amazon.com/images/I/21d6Dtc94mL.jpg,244283,width,5.4in GGn Laln 120 cM
41,https://m.media-amazon.com/images/I/21fIe0wHxDL.jpg,751532,height,
42,https://m.media-amazon.com/images/I/21jOOqo0oZL.jpg,244283,width,48 in 122 cm 96 in 244 cm
43,https://m.media-amazon.com/images/I/21jOOqo0oZL.jpg,244283,height,48 in 122 cm 96 in 244 cm
44,https://m.media-amazon.com/images/I/21lqVGTzV1L.jpg,478357,height,45 Cu) 17.7 I 4 c JeTin
45,https://m.media-amazon.com/images/I/21m65YQrQdL.jpg,249345,depth,"5,8 in cm"
46,https://m.media-amazon.com/images/I/21m65YQrQdL.jpg,249345,height,"5,8 in cm"
47,https://m.media-amazon.com/images/I/21m65YQrQdL.jpg,249345,width,"5,8 in cm"
48,https://m.media-amazon.com/images/I/21nEy7KBQlL.jpg,244283,width,90 cM
49,https://m.media-amazon.com/images/I/21nEy7KBQlL.jpg,244283,depth,90 cM
50,https://m.media-amazon.com/images/I/21nEy7KBQlL.jpg,244283,height,90 cM
51,https://m.media-amazon.com/images/I/21pFwZ8ghkL.jpg,955292,item_weight,"200mm / 8"" LAteCree4i IS0HU"
52,https://m.media-amazon.com/images/I/21pFwZ8ghkL.jpg,955292,wattage,"200mm / 8"" LAteCree4i IS0HU"
53,https://m.media-amazon.com/images/I/21qcJWXFNkL.jpg,916768,depth,12.5 cm 7 56 In J9cm
54,https://m.media-amazon.com/images/I/21qcJWXFNkL.jpg,916768,height,12.5 cm 7 56 In J9cm
55,https://m.media-amazon.com/images/I/21qgWY60ABL.jpg,751532,width,Ti2.7cm 187.96cm 96.52cm
56,https://m.media-amazon.com/images/I/21qleENrBBL.jpg,953313,item_weight,818
57,https://m.media-amazon.com/images/I/21s+qly8nXL.jpg,244283,depth,5.4in Lan 120 cm
58,https://m.media-amazon.com/images/I/21s+qly8nXL.jpg,244283,width,5.4in Lan 120 cm
59,https://m.media-amazon.com/images/I/21tOerzlVML.jpg,957050,wattage,14-inchux[oj Pro USU-Cio Uansj J Calle (7 m USO-C Pover LJjpicr
60,https://m.media-amazon.com/images/I/21tOerzlVML.jpg,957050,voltage,14-inchux[oj Pro USU-Cio Uansj J Calle (7 m USO-C Pover LJjpicr
